iter	Logloss
0	0.6742331421
1	0.6562114134
2	0.6375760496
3	0.6258191713
4	0.6117804095
5	0.5971176643
6	0.5848249836
7	0.5745095042
8	0.5625030513
9	0.5526677329
10	0.5450181497
11	0.5355264207
12	0.5291032372
13	0.5195315687
14	0.5123773718
15	0.5064969176
16	0.4966405155
17	0.4904451052
18	0.484947645
19	0.4802804931
20	0.4737271452
21	0.4687522898
22	0.464259661
23	0.4575699004
24	0.4515124258
25	0.4461428625
26	0.439132495
27	0.4344181054
28	0.4288895685
29	0.4243657162
30	0.419654633
31	0.415663736
32	0.4110813228
33	0.4076802044
34	0.4053238861
35	0.4014517376
36	0.3975968476
37	0.3943120631
38	0.3931626792
39	0.3906237173
40	0.3861895797
41	0.382611833
42	0.3796326833
43	0.3768223588
44	0.374216397
45	0.3712548689
46	0.3686887244
47	0.3655258461
48	0.3610495618
49	0.3581297649
50	0.3552831308
51	0.3514374808
52	0.3496910884
53	0.3468707843
54	0.3440293283
55	0.3407785495
56	0.3367476542
57	0.3342630672
58	0.3316620433
59	0.3295483007
60	0.3275779198
61	0.32648941
62	0.3232648744
63	0.3215774251
64	0.3192135843
65	0.3157264762
66	0.3121910967
67	0.3111136116
68	0.3097756484
69	0.3085516827
70	0.306463238
71	0.304620533
72	0.3026582792
73	0.3003391244
74	0.2964080326
75	0.2947600531
76	0.293192446
77	0.2918840347
78	0.2901627663
79	0.2888108485
80	0.286169425
81	0.2842940516
82	0.2808606402
83	0.2781226805
84	0.276126849
85	0.2738866242
86	0.2726110859
87	0.2715299618
88	0.2692938703
89	0.2676938922
90	0.2655216364
91	0.2639145535
92	0.2603071233
93	0.2592979232
94	0.2560372847
95	0.2531093649
96	0.251065543
97	0.2492376394
98	0.2477701167
99	0.2461675129
