iter	Passed	Remaining
0	57	5732
1	58	2884
2	59	1928
3	60	1449
4	61	1161
5	61	969
6	62	830
7	63	728
8	64	647
9	64	583
10	65	529
11	66	485
12	66	448
13	67	416
14	68	389
15	70	367
16	70	346
17	71	326
18	72	308
19	73	292
20	73	277
21	74	264
22	75	251
23	75	240
24	76	229
25	77	219
26	77	210
27	78	202
28	79	194
29	79	186
30	80	179
31	81	173
32	82	166
33	82	161
34	83	155
35	84	149
36	84	144
37	85	139
38	86	135
39	87	130
40	87	126
41	88	122
42	89	118
43	90	114
44	90	110
45	91	107
46	91	103
47	92	100
48	93	97
49	93	93
50	94	90
51	95	88
52	96	85
53	97	82
54	98	80
55	99	78
56	100	75
57	100	72
58	101	70
59	102	68
60	102	65
61	103	63
62	104	61
63	105	59
64	105	56
65	106	54
66	107	52
67	107	50
68	108	48
69	109	46
70	109	44
71	110	43
72	111	41
73	112	39
74	112	37
75	113	35
76	114	34
77	114	32
78	115	30
79	116	29
80	117	27
81	118	25
82	118	24
83	119	22
84	120	21
85	120	19
86	121	18
87	122	16
88	123	15
89	123	13
90	124	12
91	125	10
92	126	9
93	126	8
94	127	6
95	128	5
96	128	3
97	129	2
98	130	1
99	130	0
